01:01:46.085 [main] INFO  i.g.o.y.a.r.ReadApartmentsXMLFormat - Enter readApartment method
01:01:46.101 [main] INFO  i.g.o.y.a.r.ReadApartmentsXMLFormat - XML Files loaded with success
01:01:46.104 [main] INFO  i.g.o.y.a.apartment.Apartment - the apartment has been created with success
01:01:46.104 [main] INFO  i.g.o.y.a.apartment.Apartment - The description has been set to Un igloo tout mignon en compagnie du père noël et de la mère noël
01:01:46.104 [main] INFO  i.g.o.y.a.apartment.Apartment - The number of bathrooms has been set to 1
01:01:46.104 [main] INFO  i.g.o.y.a.apartment.Apartment - terrace has been set to true
01:01:46.105 [main] INFO  i.g.o.y.a.apartment.Apartment - The floor area of the terrace has been set to 8.6
01:01:46.106 [main] INFO  i.g.o.y.a.apartment.Apartment - The wifi has been set to true
01:01:46.106 [main] INFO  i.g.o.y.a.apartment.Apartment - The tele has been set to false
01:01:46.106 [main] INFO  i.g.o.y.a.apartment.Apartment - The number of sleepings has been set to 10
01:01:46.106 [main] INFO  i.g.o.y.a.apartment.Apartment - The number of bathrooms has been set to 5
01:01:46.106 [main] INFO  i.g.o.y.a.apartment.Apartment - The price per night has been set to 404.0
01:01:46.106 [main] INFO  i.g.o.y.a.apartment.Apartment - The number minimum of night has been set to 1
01:01:46.109 [main] INFO  i.g.o.y.a.r.ReadApartmentsXMLFormat - Parameters inserted with success in the Apartment Object
01:01:46.109 [main] INFO  i.g.o.y.a.r.ReadApartmentsXMLFormat - Leave readApartment method
01:01:47.194 [main] INFO  i.g.o.y.a.apartment.Apartment - the apartment has been created with success
